PelletInjections_AP,Discharge,Injection LIne,Mass (particles),Vp (m/s),T at plasma edge (s),Tthomson (s),TS (s) after inj,Comments,<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,Configuration,Injection Line,Mas [Particles],Velocity (m/s),Time at Plasma Edge (s),<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,Injection Line,Pellet particles ,Vp (m/s),Time at plasma edge (s),<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,AU,AV,AW,AX
37498,2,8.2896e+18,1075.227,1.055071,1.059000,0.0039289,Yes,1.7500,-3.6400,100_44_64,,,,,,,,,,,,,,,,
37499,2,9.8208e+18,1093.435,1.055003,1.061400,0.0063974,Yes,1.7000,-3.3600,100_44_64,,,,,,,,,,,,,,,,
37500,2,,,,1.065400,,,,,100_44_64,,,,,,,,,,,,,,,,
37501,2,9.8472e+18,847.8465,1.055964,1.065400,0.0094360, Slight Vaprztion,1.8500,-2.8000,100_44_64,,,,,,,,,,,,,,,,
37502,2,8.1840e+18,1091.489,1.055073,1.069400,0.014327,Yes,2.0300,-3.1600,100_44_64,,,,,,,,,,,,,,,,
37504,2,8.4110e+18,948.2774,1.055583,1.055400,-0.00018251,Yes,2.1100,-3.4400,100_44_64,,,,,,,,,,,,,,,,
37505,2,1.2989e+19,1118.609,1.055022,1.055400,0.00037766,Yes,2.2500,-2.9000,100_44_64,,,,,,,,,,,,,,,,
37506,,,,,1.055400,,No pellet,2.9500,-1.8500,100_44_64,,,,,,,,,,,,,,,,
37507,2,8.4480e+18,1052.173,1.055261,1.055400,0.00013888,Yes,2.8300,-1.8000,100_44_64,,,,,,,,,,,,,,,,
37508,2,6.2040e+18,1063.575,1.055139,1.055400,0.00026083,No,2.6100,-1.8300,100_44_64,,,,,,,,,,,,,,,,
37509,2,7.7616e+18,1125.020,1.054907,1.056000,0.0010926,Slight Vaprzton,1.8900,-0.77000,100_44_64,,,,,,,,,,,,,,,,
37678,,,,,1.040000,,No pellet,3.5100,-2.3000,100_44_64,,,,,,,,,,,,,,,,
37679,2,6.9696e+18,952.8807,1.045490,1.050000,0.0045104,Yes,3.2000,-2.4200,100_44_64,,,,,,,,,,,,,,,,
37680,3,1.5840e+19,966.9627,1.045558,1.050000,0.0044423,Yes,3.6400,-2.0500,100_44_64,,,,,,,,,,,,,,,,
37681,3,1.5946e+19,1026.425,1.045283,1.060000,0.014717,Strange pellet,3.6500,-2.1100,100_44_64,,,,,,,,,,,,,,,,
37682,3,1.9430e+19,1046.563,1.045222,1.070000,0.024778,Multiple Vprzton,3.6500,-2.4700,100_44_64,,,,,,,,,,,,,,,,
